epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,44.043,0.85776,0.71404,0.93723,0.03226,1,0.995,0.81843,0.68018,2.35457,0.83941,0.000493898,0.000493898,0.000493898
45,45.0904,0.84754,0.70869,0.87651,0.015,1,0.995,0.848,0.66008,2.38226,0.83506,0.000496672,0.000496672,0.000496672
46,46.1143,0.7871,0.67951,0.88054,0.015,1,0.995,0.848,0.66008,2.38226,0.83506,0.00049905,0.00049905,0.00049905
47,47.1351,0.79712,0.68517,0.86637,0.015,1,0.995,0.87567,0.57125,2.38798,0.82256,0.000501032,0.000501032,0.000501032
48,48.1955,0.80369,0.71979,0.86451,0.015,1,0.995,0.87567,0.57125,2.38798,0.82256,0.000502618,0.000502618,0.000502618
49,49.2023,0.84875,0.70765,0.86535,0.015,1,0.995,0.88306,0.54094,2.39436,0.81971,0.000503808,0.000503808,0.000503808
50,50.1758,0.82005,0.71176,0.92605,0.015,1,0.995,0.88306,0.54094,2.39436,0.81971,0.000504602,0.000504602,0.000504602
51,51.1959,0.77247,0.67098,0.85642,0.015,1,0.995,0.86513,0.54066,2.41856,0.82075,0.000505,0.000505,0.000505
52,52.2007,0.71656,0.6519,0.86066,0.015,1,0.995,0.86513,0.54066,2.41856,0.82075,0.000505002,0.000505002,0.000505002
53,53.2005,0.75107,0.64792,0.86598,0.015,1,0.995,0.86513,0.54066,2.41856,0.82075,0.000504608,0.000504608,0.000504608
54,54.2208,0.76627,0.6658,0.87433,0.015,1,0.995,0.86611,0.52438,2.4116,0.82267,0.000503818,0.000503818,0.000503818
55,55.1978,0.73328,0.66925,0.90777,0.015,1,0.995,0.86611,0.52438,2.4116,0.82267,0.000502632,0.000502632,0.000502632
56,56.1337,0.74237,0.65419,0.9068,0.015,1,0.995,0.86611,0.52438,2.4116,0.82267,0.00050105,0.00050105,0.00050105
57,57.1445,0.80342,0.68541,0.86895,0.015,1,0.995,0.87768,0.54078,2.36975,0.82551,0.000499072,0.000499072,0.000499072
58,58.1163,0.75049,0.7467,0.88567,0.015,1,0.995,0.87768,0.54078,2.36975,0.82551,0.000496698,0.000496698,0.000496698
59,59.0902,0.72208,0.65905,0.86785,0.015,1,0.995,0.87768,0.54078,2.36975,0.82551,0.000493928,0.000493928,0.000493928
60,60.1161,0.86126,0.66336,0.87006,0.015,1,0.995,0.8963,0.55931,2.32178,0.82936,0.000490762,0.000490762,0.000490762
61,61.0972,0.69808,0.6472,0.89416,0.015,1,0.995,0.8963,0.55931,2.32178,0.82936,0.0004872,0.0004872,0.0004872
62,62.0537,0.68276,0.61884,0.86357,0.015,1,0.995,0.8963,0.55931,2.32178,0.82936,0.000483242,0.000483242,0.000483242
63,63.2671,0.70504,0.64668,0.86141,0.015,1,0.995,0.90915,0.54854,2.23438,0.82914,0.000478888,0.000478888,0.000478888
64,64.535,0.7364,0.63393,0.86434,0.015,1,0.995,0.90915,0.54854,2.23438,0.82914,0.000474138,0.000474138,0.000474138
65,65.9253,0.73903,0.63889,0.8716,0.015,1,0.995,0.90915,0.54854,2.23438,0.82914,0.000468992,0.000468992,0.000468992
66,67.0161,0.70704,0.64543,0.86371,0.92161,1,0.995,0.91098,0.54375,2.10311,0.82552,0.00046345,0.00046345,0.00046345
67,67.9926,0.64559,0.63348,0.86747,0.92161,1,0.995,0.91098,0.54375,2.10311,0.82552,0.000457512,0.000457512,0.000457512
68,69.0421,0.73988,0.63108,0.86318,0.92161,1,0.995,0.91098,0.54375,2.10311,0.82552,0.000451178,0.000451178,0.000451178
69,70.0807,0.67925,0.62262,0.85811,0.99151,1,0.995,0.90812,0.46925,1.93857,0.81578,0.000444448,0.000444448,0.000444448
70,71.0333,0.70363,0.62237,0.88278,0.99151,1,0.995,0.90812,0.46925,1.93857,0.81578,0.000437322,0.000437322,0.000437322
71,72.0601,0.72979,0.63106,0.86283,0.99151,1,0.995,0.90812,0.46925,1.93857,0.81578,0.0004298,0.0004298,0.0004298
72,73.1075,0.69047,0.61851,0.87324,0.9673,1,0.995,0.91839,0.4562,1.79443,0.81086,0.000421882,0.000421882,0.000421882
73,74.1756,0.63561,0.60726,0.86549,0.9673,1,0.995,0.91839,0.4562,1.79443,0.81086,0.000413568,0.000413568,0.000413568
74,75.2592,0.66699,0.59069,0.83977,0.9673,1,0.995,0.91839,0.4562,1.79443,0.81086,0.000404858,0.000404858,0.000404858
75,76.3269,0.66962,0.6191,0.85798,0.95946,1,0.995,0.90634,0.46581,1.66851,0.81155,0.000395752,0.000395752,0.000395752
76,77.3799,0.70788,0.60682,0.83846,0.95946,1,0.995,0.90634,0.46581,1.66851,0.81155,0.00038625,0.00038625,0.00038625
77,78.4594,0.7021,0.58973,0.86077,0.95946,1,0.995,0.90634,0.46581,1.66851,0.81155,0.000376352,0.000376352,0.000376352
78,79.5286,0.71748,0.60743,0.86774,0.97296,1,0.995,0.8951,0.47673,1.55917,0.81199,0.000366058,0.000366058,0.000366058
79,80.5686,0.75002,0.61452,0.85843,0.97296,1,0.995,0.8951,0.47673,1.55917,0.81199,0.000355368,0.000355368,0.000355368
80,81.639,0.66434,0.59614,0.85132,0.97296,1,0.995,0.8951,0.47673,1.55917,0.81199,0.000344282,0.000344282,0.000344282
81,82.827,0.67154,0.60025,0.84833,0.97848,1,0.995,0.90391,0.46932,1.44241,0.80912,0.0003328,0.0003328,0.0003328
